user_id,Biaya_Rata_Rata,Domain_Akademik,Domain_Bisnis_Karir,Domain_Olahraga_E-Sport,Domain_Seni_Kreatif,Domain_Teknologi,Domain_Umum_Lainnya,Jenjang_Encoded,Is_Online,Is_Offline,Persona_Name
user_0001,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0002,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0003,25000,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0004,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0005,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0006,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0007,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0008,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0009,50000,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0010,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0011,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0012,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0013,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0014,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0015,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0016,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0017,50000,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0018,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0019,50000,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0020,25000,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0021,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0022,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0023,50000,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0024,25000,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0025,25000,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0026,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0027,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0028,25000,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0029,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0030,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0031,50000,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0032,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0033,25000,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0034,25000,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0035,25000,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0036,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0037,50000,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0038,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0039,50000,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0040,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0041,25000,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0042,25000,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0043,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0044,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0045,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0046,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0047,25000,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0048,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0049,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0050,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0051,50000,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0052,25000,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0053,50000,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0054,25000,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0055,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0056,25000,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0057,25000,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0058,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0059,25000,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0060,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0061,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0062,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0063,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0064,50000,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0065,50000,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0066,25000,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0067,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0068,25000,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0069,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0070,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
user_0071,0,0,1,0,0,1,0,4,1,0,Tech Mahasiswa Online
