nama_lomba,bidang_utama,kategori,tema,jumlah_peserta,hadiah,start_date,deadline_date,penyelenggara
National DevFest 2025,Tech & IT,UI/UX Design,Smart City,2371,45000000,2025-04-25,2025-07-18,Penyelenggara Independen
Festival Eco Summit Samarinda,Sosial & Lingkungan,Kemanusiaan,Aksi Tanggap Bencana,2660,19000000,,2024-07-01,WWF Indonesia
Festival Health Challenge Malang,Kesehatan,Gizi dan Nutrisi,Pencegahan Stunting,2771,18000000,,2026-05-27,Kementerian Kesehatan RI
National Ideathon 2024,Tech & IT,Software Development,Blockchain for Good,1626,12000000,,2024-04-19,Kementerian Kominfo
GELAR DEVFEST BALI,Tech & IT,Software Development,Blockchain for Good,1592,18000000,,2025-11-05,aws indonesia   
Preneur Olympiad Denpasar 2024,Bisnis & Ekonomi,Fintech,Digitalisasi UMKM,1969,21000000,2024-04-30,2024-05-20,BCA
National DevFest 2025,Tech & IT,AI/Machine Learning,Smart City,1626,23000000,,2025-05-12,Tech Community
relawan challenge padang 2026   ,Sosial & Lingkungan,Kemanusiaan,Aksi Tanggap Bencana,3618,15000000,,2025-05-12,Kementerian Sosial
NATIONAL HEALTH CHALLENGE 2026,Kesehatan,Teknologi Medis,Umum - Kesehatan,91,22000000,,2026-09-19,ikatan dokter indonesia   
Startup Fest Malang 2024,Bisnis & Ekonomi,Fintech,Strategi Pemasaran Gen Z,3614,16000000,,2024-11-24,BCA
Kompetisi Impact Fest Yogyakarta,Sosial & Lingkungan,Pendidikan,Energi Terbarukan,2314,29000000,,2024-03-14,Yayasan Ruangguru
National CodeFest 2026,Tech & IT,AI/Machine Learning,Generative AI,1586,25000000,,2024-03-14,Tech Community
Festival Aksi Sehat Surabaya,Kesehatan,Kesehatan Mental,Awareness Kesehatan Mental,403,35000000,,2025-08-01,KEMENTERIAN KESEHATAN RI
Med Inno Surabaya 2026,Kesehatan,Kesehatan Mental,Pencegahan Stunting,2144,13000000,2026-08-01,2026-09-22,Ikatan Dokter Indonesia
National Tech Challenge 2024,Tech & IT,Cyber Security,Generative AI,915,22000000,2026-08-01,2024-12-15,google developer group   
Impact Fest Bengkulu 2025,Sosial & Lingkungan,Umum - Sosial & Lingkungan,Pengurangan Sampah Plastik,1921,31000000,,2025-05-29,UNICEF Indonesia
Kompetisi Aksi Baik Jakarta,Sosial & Lingkungan,Kemanusiaan,Energi Terbarukan,906,8000000,,2024-07-04,UNICEF INDONESIA
